0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/js/playlistAdd.js HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/images/ui-bg_inset-soft_50_c9c9c9_1x100.png HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/search HTTP/1.1" 200 6885
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/js/AJAXsearch.js HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/img/wiz.gif HTTP/1.1" 200 68674
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:51 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:52 -0600] "GET /metaplay/rest/loadAllEntities HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:03 -0600] "GET /metaplay/playlist/add HTTP/1.1" 200 20338
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/js/playlistAdd.js HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "GET /metaplay/resources/lib/images/ui-bg_inset-soft_50_c9c9c9_1x100.png HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:04 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/playlist/add HTTP/1.1" 200 20338
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/js/playlistAdd.js HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:41 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:42 -0600] "GET /metaplay/resources/lib/images/ui-bg_inset-soft_50_c9c9c9_1x100.png HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:45:42 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:46:09 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:46:09 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:46:09 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
